Learning Rate,Epoch,Loss,Validation Loss
0.001,72,1609.7078857421875,6642.67431640625
0.001,73,1603.208740234375,6440.44580078125
0.001,74,1934.255126953125,8296.234375
0.001,75,3248.311279296875,7550.2919921875
0.001,76,2247.141845703125,6888.08984375
0.001,77,1614.6441650390625,7283.78955078125
0.001,78,1660.2816162109375,6635.806640625
0.001,79,1359.3466796875,7915.65771484375
0.001,80,1786.5386962890625,6467.9501953125
0.001,81,2476.746337890625,6954.30615234375
0.001,82,2310.075439453125,6808.71337890625
0.001,83,2177.284423828125,6912.00537109375
0.001,84,1749.304443359375,6474.4462890625
0.001,85,1425.38232421875,6316.95068359375
0.001,86,1160.42626953125,6661.6474609375
0.001,87,2007.1522216796875,6470.03955078125
0.001,88,1787.128662109375,7852.25439453125
0.001,89,2881.637939453125,7800.7431640625
0.001,90,1458.189697265625,6680.82080078125
0.001,91,1033.4681396484375,6679.548828125
0.001,92,1202.0953369140625,6835.02978515625
0.001,93,1480.0050048828125,6589.564453125
0.001,94,1940.71044921875,10827.8310546875
0.001,95,3025.555419921875,6460.5400390625
0.001,96,1355.2548828125,6427.43701171875
0.001,97,951.8623046875,5872.1806640625
0.001,98,864.3607177734375,6044.51806640625
0.001,99,1000.9979858398438,6439.392578125
0.001,100,1162.0108642578125,6334.14892578125
0.005,1,161206.5625,84438.65625
0.005,2,77860.21875,67113.4765625
0.005,3,64291.63671875,55108.5703125
0.005,4,54559.2734375,53108.02734375
0.005,5,46996.78125,38930.91015625
0.005,6,40941.9921875,34900.5546875
0.005,7,35636.7578125,31747.0546875
0.005,8,30218.662109375,27762.548828125
0.005,9,27739.99609375,26383.09765625
0.005,10,23304.66015625,30956.6171875
0.005,11,22539.83984375,20959.42578125
0.005,12,18143.03125,15671.455078125
0.005,13,18064.177734375,21690.7109375
0.005,14,16516.884765625,17971.91796875
0.005,15,15086.2197265625,24060.080078125
0.005,16,15138.326171875,24092.587890625
0.005,17,13724.5791015625,21504.537109375
0.005,18,13481.9326171875,14762.3828125
0.005,19,11615.7314453125,17910.69921875
0.005,20,12697.55859375,15003.46484375
0.005,21,11197.986328125,15283.255859375
0.005,22,12167.8193359375,11986.2333984375
0.005,23,8884.0654296875,11381.578125
0.005,24,9314.05078125,11215.947265625
0.005,25,9913.8115234375,12107.3427734375
0.005,26,10237.4453125,11468.7685546875
